Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
model.backbone.conv_encoder.model.conv1,260,260,7,7,3,64,2,
model.backbone.conv_encoder.model.layer1.0.conv1,130,130,1,1,64,64,1,
model.backbone.conv_encoder.model.layer1.0.conv2,130,130,3,3,64,64,1,
model.backbone.conv_encoder.model.layer1.0.conv3,130,130,1,1,64,256,1,
model.backbone.conv_encoder.model.layer1.0.downsample.0,130,130,1,1,64,256,1,
model.backbone.conv_encoder.model.layer1.1.conv1,130,130,1,1,256,64,1,
model.backbone.conv_encoder.model.layer1.1.conv2,130,130,3,3,64,64,1,
model.backbone.conv_encoder.model.layer1.1.conv3,130,130,1,1,64,256,1,
model.backbone.conv_encoder.model.layer1.2.conv1,130,130,1,1,256,64,1,
model.backbone.conv_encoder.model.layer1.2.conv2,130,130,3,3,64,64,1,
model.backbone.conv_encoder.model.layer1.2.conv3,130,130,1,1,64,256,1,
model.backbone.conv_encoder.model.layer2.0.conv1,130,130,1,1,256,128,1,
model.backbone.conv_encoder.model.layer2.0.conv2,130,130,3,3,128,128,2,
model.backbone.conv_encoder.model.layer2.0.conv3,65,65,1,1,128,512,1,
model.backbone.conv_encoder.model.layer2.0.downsample.0,65,65,1,1,256,512,2,
model.backbone.conv_encoder.model.layer2.1.conv1,33,33,1,1,512,128,1,
model.backbone.conv_encoder.model.layer2.1.conv2,33,33,3,3,128,128,1,
model.backbone.conv_encoder.model.layer2.1.conv3,33,33,1,1,128,512,1,
model.backbone.conv_encoder.model.layer2.2.conv1,33,33,1,1,512,128,1,
model.backbone.conv_encoder.model.layer2.2.conv2,33,33,3,3,128,128,1,
model.backbone.conv_encoder.model.layer2.2.conv3,33,33,1,1,128,512,1,
model.backbone.conv_encoder.model.layer2.3.conv1,33,33,1,1,512,128,1,
model.backbone.conv_encoder.model.layer2.3.conv2,33,33,3,3,128,128,1,
model.backbone.conv_encoder.model.layer2.3.conv3,33,33,1,1,128,512,1,
model.backbone.conv_encoder.model.layer3.0.conv1,33,33,1,1,512,256,1,
model.backbone.conv_encoder.model.layer3.0.conv2,33,33,3,3,256,256,2,
model.backbone.conv_encoder.model.layer3.0.conv3,17,17,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer3.0.downsample.0,17,17,1,1,512,1024,2,
model.backbone.conv_encoder.model.layer3.1.conv1,9,9,1,1,1024,256,1,
model.backbone.conv_encoder.model.layer3.1.conv2,9,9,3,3,256,256,1,
model.backbone.conv_encoder.model.layer3.1.conv3,9,9,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer3.2.conv1,9,9,1,1,1024,256,1,
model.backbone.conv_encoder.model.layer3.2.conv2,9,9,3,3,256,256,1,
model.backbone.conv_encoder.model.layer3.2.conv3,9,9,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer3.3.conv1,9,9,1,1,1024,256,1,
model.backbone.conv_encoder.model.layer3.3.conv2,9,9,3,3,256,256,1,
model.backbone.conv_encoder.model.layer3.3.conv3,9,9,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer3.4.conv1,9,9,1,1,1024,256,1,
model.backbone.conv_encoder.model.layer3.4.conv2,9,9,3,3,256,256,1,
model.backbone.conv_encoder.model.layer3.4.conv3,9,9,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer3.5.conv1,9,9,1,1,1024,256,1,
model.backbone.conv_encoder.model.layer3.5.conv2,9,9,3,3,256,256,1,
model.backbone.conv_encoder.model.layer3.5.conv3,9,9,1,1,256,1024,1,
model.backbone.conv_encoder.model.layer4.0.conv1,9,9,1,1,1024,512,1,
model.backbone.conv_encoder.model.layer4.0.conv2,9,9,3,3,512,512,2,
model.backbone.conv_encoder.model.layer4.0.conv3,5,5,1,1,512,2048,1,
model.backbone.conv_encoder.model.layer4.0.downsample.0,5,5,1,1,1024,2048,2,
model.backbone.conv_encoder.model.layer4.1.conv1,3,3,1,1,2048,512,1,
model.backbone.conv_encoder.model.layer4.1.conv2,3,3,3,3,512,512,1,
model.backbone.conv_encoder.model.layer4.1.conv3,3,3,1,1,512,2048,1,
model.backbone.conv_encoder.model.layer4.2.conv1,3,3,1,1,2048,512,1,
model.backbone.conv_encoder.model.layer4.2.conv2,3,3,3,3,512,512,1,
model.backbone.conv_encoder.model.layer4.2.conv3,3,3,1,1,512,2048,1,
model.input_projection,3,3,1,1,2048,256,1,
